assetId,name,type,department,corridorId,ageYears,installDate,condition,criticality,degradationLatent,latitude,longitude,historicalFailures
AST-0001,Signal Section 1,Signal,S&T,COR-004,12.3,2014-05-19,Fair,9,0.54,20.3603,73.0004,2
AST-0002,Track Section 2,Track,Engineering,COR-005,10.1,2016-07-30,Fair,9,0.439,24.4932,87.8591,2
AST-0003,Signal Section 3,Signal,S&T,COR-006,17.8,2008-11-18,Good,10,0.196,23.466,74.8641,1
AST-0004,Track Section 4,Track,Engineering,COR-006,7.3,2019-05-18,Fair,8,0.362,24.1219,78.1545,0
AST-0005,Track Section 5,Track,Engineering,COR-002,1.1,2025-07-28,Good,7,0.326,21.1536,78.6567,0
AST-0006,Track Section 6,Track,Engineering,COR-001,18.0,2008-09-06,Warning,8,0.572,28.3861,80.3309,2
AST-0007,Signal Section 7,Signal,S&T,COR-003,6.1,2020-07-29,Fair,9,0.4,25.3859,85.0671,4
AST-0008,Track Section 8,Track,Engineering,COR-005,4.6,2022-01-28,Good,9,0.241,27.996,72.5974,1
AST-0009,Station Equipment Section 9,Station Equipment,S&T,COR-002,1.2,2025-06-21,Good,5,0.204,20.0927,87.4196,1
AST-0010,Signal Section 10,Signal,S&T,COR-002,17.0,2009-09-06,Good,9,0.225,25.2285,82.8358,0
AST-0011,Track Section 11,Track,Engineering,COR-009,0.6,2026-01-26,Good,8,0.113,27.4946,87.7104,1
AST-0012,Signal Section 12,Signal,S&T,COR-004,22.6,2004-02-01,Good,10,0.302,22.3092,85.5782,4
AST-0013,Track Section 13,Track,Engineering,COR-006,7.9,2018-10-11,Good,9,0.25,20.9514,87.3454,2
AST-0014,Station Equipment Section 14,Station Equipment,S&T,COR-006,17.6,2009-01-30,Fair,5,0.38,21.6502,82.116,2
AST-0015,Signal Section 15,Signal,S&T,COR-008,13.6,2013-01-29,Fair,10,0.502,21.7293,78.2169,3
AST-0016,OHE Section 16,OHE,Traction Distribution,COR-008,31.2,1995-06-29,Warning,8,0.732,23.472,79.5866,7
AST-0017,Track Section 17,Track,Engineering,COR-003,13.4,2013-04-12,Good,8,0.313,22.2596,83.0285,4
AST-0018,Signal Section 18,Signal,S&T,COR-009,22.1,2004-08-02,Good,9,0.22,21.7127,79.3309,1
AST-0019,Signal Section 19,Signal,S&T,COR-004,6.6,2020-01-28,Good,9,0.197,25.4851,84.2068,0
AST-0020,Station Equipment Section 20,Station Equipment,S&T,COR-009,2.4,2024-04-09,Good,4,0.021,19.5303,73.9696,0
