cause,occurrences,meanDelayMinutes,medianDelayMinutes,monsoonShare,festivalShare,frequencyShare
Track Congestion,16033,135.0,128.0,0.481,0.192,0.223
Flooding / Waterlogging,13869,136.0,129.0,1.0,0.184,0.1929
Late Incoming Rake,10977,144.3,136.0,0.0,0.187,0.1527
Track Maintenance / PSR,9238,135.3,129.0,1.0,0.179,0.1285
Station Congestion,4856,134.5,128.0,0.0,0.2,0.0675
Signal Failure,2660,122.6,114.0,0.0,0.203,0.037
Unscheduled Halt,2211,119.3,110.0,0.0,0.203,0.0308
Crew Availability,2124,117.6,109.0,0.0,0.206,0.0295
Freight Priority,2071,117.4,110.0,0.0,0.19,0.0288
Passenger Emergency,2016,118.5,111.0,0.0,0.212,0.028
Level Crossing Delay,2002,119.7,109.0,0.0,0.222,0.0278
Loco / Engine Failure,1652,118.8,111.0,0.0,0.212,0.023
Fog / Low Visibility,1408,133.9,126.0,0.0,0.161,0.0196
Technical Inspection,782,117.9,109.0,0.0,0.219,0.0109
