failureId,assetId,date,severity,downtimeMinutes,cause
FLR-00001,AST-0001,2026-08-28,5,110,Late Incoming Rake
FLR-00002,AST-0001,2025-11-04,7,70,Track Congestion
FLR-00003,AST-0002,2024-12-23,5,89,Late Incoming Rake
FLR-00004,AST-0002,2023-10-14,5,101,Flooding / Waterlogging
FLR-00005,AST-0003,2024-03-20,4,123,Crew Availability
FLR-00006,AST-0006,2025-11-27,8,117,Loco / Engine Failure
FLR-00007,AST-0006,2023-11-11,6,103,Crew Availability
FLR-00008,AST-0007,2023-10-29,6,130,Flooding / Waterlogging
FLR-00009,AST-0007,2025-03-23,5,145,Track Congestion
FLR-00010,AST-0007,2025-07-24,4,122,Track Congestion
FLR-00011,AST-0007,2024-02-27,9,160,Track Congestion
FLR-00012,AST-0008,2026-06-19,7,146,Station Congestion
FLR-00013,AST-0009,2026-07-26,5,126,Signal Failure
FLR-00014,AST-0011,2024-05-01,2,115,Loco / Engine Failure
FLR-00015,AST-0012,2025-02-27,5,109,Signal Failure
FLR-00016,AST-0012,2024-05-19,8,102,Loco / Engine Failure
FLR-00017,AST-0012,2025-11-01,4,129,Station Congestion
FLR-00018,AST-0012,2025-05-01,3,127,Flooding / Waterlogging
FLR-00019,AST-0013,2024-02-16,6,123,Track Maintenance / PSR
FLR-00020,AST-0013,2025-08-15,7,77,Late Incoming Rake
FLR-00021,AST-0014,2024-07-21,6,105,Track Maintenance / PSR
FLR-00022,AST-0014,2024-06-06,5,136,Flooding / Waterlogging
FLR-00023,AST-0015,2024-12-07,6,161,Flooding / Waterlogging
FLR-00024,AST-0015,2025-02-02,7,161,Passenger Emergency
FLR-00025,AST-0015,2024-01-21,6,157,Flooding / Waterlogging
FLR-00026,AST-0016,2024-01-09,6,139,Flooding / Waterlogging
FLR-00027,AST-0016,2025-03-04,6,147,Late Incoming Rake
FLR-00028,AST-0016,2023-11-30,5,170,Track Congestion
FLR-00029,AST-0016,2025-02-10,9,128,Late Incoming Rake
FLR-00030,AST-0016,2026-04-22,6,147,Freight Priority
FLR-00031,AST-0016,2024-07-26,8,153,Station Congestion
FLR-00032,AST-0016,2025-08-02,6,140,Freight Priority
FLR-00033,AST-0017,2025-10-13,5,116,Freight Priority
FLR-00034,AST-0017,2023-11-30,6,135,Track Congestion
FLR-00035,AST-0017,2023-09-30,6,181,Flooding / Waterlogging
FLR-00036,AST-0017,2026-06-22,5,89,Signal Failure
FLR-00037,AST-0018,2024-05-24,5,122,Track Congestion
FLR-00038,AST-0021,2025-05-29,8,159,Station Congestion
FLR-00039,AST-0021,2026-08-14,8,167,Late Incoming Rake
FLR-00040,AST-0021,2025-09-19,6,92,Freight Priority
FLR-00041,AST-0022,2026-01-23,6,106,Track Congestion
FLR-00042,AST-0022,2025-12-23,5,139,Late Incoming Rake
FLR-00043,AST-0023,2025-06-27,10,115,Passenger Emergency
FLR-00044,AST-0026,2024-04-08,6,103,Flooding / Waterlogging
FLR-00045,AST-0026,2024-03-26,4,146,Late Incoming Rake
FLR-00046,AST-0026,2026-05-02,8,138,Flooding / Waterlogging
FLR-00047,AST-0026,2025-10-14,4,88,Track Maintenance / PSR
FLR-00048,AST-0027,2026-03-12,6,107,Station Congestion
FLR-00049,AST-0027,2024-06-15,10,73,Crew Availability
FLR-00050,AST-0027,2024-04-11,4,149,Track Maintenance / PSR
FLR-00051,AST-0030,2025-06-20,6,111,Station Congestion
FLR-00052,AST-0030,2024-04-16,6,136,Fog / Low Visibility
FLR-00053,AST-0030,2024-06-20,7,199,Track Maintenance / PSR
FLR-00054,AST-0031,2025-09-12,7,90,Track Congestion
FLR-00055,AST-0031,2024-02-17,5,145,Flooding / Waterlogging
FLR-00056,AST-0031,2026-06-20,8,129,Track Maintenance / PSR
FLR-00057,AST-0033,2025-09-09,7,144,Track Maintenance / PSR
FLR-00058,AST-0036,2024-10-05,9,130,Track Maintenance / PSR
FLR-00059,AST-0036,2024-06-23,8,147,Loco / Engine Failure
FLR-00060,AST-0038,2025-11-10,5,135,Late Incoming Rake
FLR-00061,AST-0038,2026-08-05,4,94,Technical Inspection
FLR-00062,AST-0039,2025-04-11,7,118,Track Maintenance / PSR
FLR-00063,AST-0040,2026-04-21,6,118,Level Crossing Delay
FLR-00064,AST-0041,2026-07-08,7,186,Station Congestion
FLR-00065,AST-0042,2024-12-29,6,100,Track Congestion
FLR-00066,AST-0042,2024-07-28,9,111,Freight Priority
FLR-00067,AST-0043,2026-03-28,7,146,Level Crossing Delay
FLR-00068,AST-0044,2024-10-21,6,107,Passenger Emergency
FLR-00069,AST-0045,2024-10-27,7,137,Track Maintenance / PSR
FLR-00070,AST-0045,2025-06-06,3,93,Loco / Engine Failure
FLR-00071,AST-0046,2023-10-08,6,143,Late Incoming Rake
FLR-00072,AST-0047,2024-06-09,4,175,Late Incoming Rake
FLR-00073,AST-0047,2024-08-05,4,140,Flooding / Waterlogging
FLR-00074,AST-0047,2025-01-08,6,140,Track Congestion
FLR-00075,AST-0048,2026-08-14,8,132,Freight Priority
FLR-00076,AST-0050,2025-05-26,7,134,Track Congestion
FLR-00077,AST-0052,2025-02-22,5,144,Flooding / Waterlogging
FLR-00078,AST-0054,2026-01-26,7,167,Track Maintenance / PSR
FLR-00079,AST-0055,2023-12-11,4,134,Freight Priority
FLR-00080,AST-0055,2025-04-26,8,152,Track Congestion
FLR-00081,AST-0056,2025-11-19,4,97,Unscheduled Halt
FLR-00082,AST-0057,2026-08-17,5,118,Track Congestion
FLR-00083,AST-0058,2026-06-16,6,160,Track Maintenance / PSR
FLR-00084,AST-0058,2025-12-02,7,138,Flooding / Waterlogging
FLR-00085,AST-0058,2025-05-26,7,139,Crew Availability
FLR-00086,AST-0058,2024-04-20,9,180,Late Incoming Rake
FLR-00087,AST-0058,2024-04-03,8,140,Flooding / Waterlogging
FLR-00088,AST-0059,2026-07-17,6,128,Late Incoming Rake
FLR-00089,AST-0060,2026-04-05,7,141,Flooding / Waterlogging
FLR-00090,AST-0060,2025-08-11,8,159,Late Incoming Rake
FLR-00091,AST-0060,2024-12-31,8,141,Passenger Emergency
FLR-00092,AST-0060,2026-08-06,3,128,Flooding / Waterlogging
FLR-00093,AST-0060,2025-11-01,8,183,Late Incoming Rake
FLR-00094,AST-0061,2025-08-24,5,136,Late Incoming Rake
FLR-00095,AST-0062,2025-04-18,7,124,Track Congestion
FLR-00096,AST-0063,2024-02-26,6,137,Flooding / Waterlogging
FLR-00097,AST-0063,2025-06-29,6,132,Late Incoming Rake
FLR-00098,AST-0063,2025-12-02,4,146,Station Congestion
FLR-00099,AST-0063,2025-11-05,9,159,Late Incoming Rake
FLR-00100,AST-0063,2025-04-14,6,102,Fog / Low Visibility
FLR-00101,AST-0063,2026-05-18,8,159,Signal Failure
FLR-00102,AST-0064,2024-05-20,4,94,Track Congestion
FLR-00103,AST-0065,2026-08-24,5,145,Track Maintenance / PSR
FLR-00104,AST-0066,2025-08-02,6,160,Freight Priority
FLR-00105,AST-0066,2024-04-11,8,119,Track Congestion
FLR-00106,AST-0066,2023-10-18,6,110,Flooding / Waterlogging
FLR-00107,AST-0067,2024-08-21,6,141,Flooding / Waterlogging
FLR-00108,AST-0068,2025-02-01,4,73,Flooding / Waterlogging
FLR-00109,AST-0068,2025-07-08,5,136,Station Congestion
FLR-00110,AST-0069,2026-05-21,8,107,Station Congestion
FLR-00111,AST-0069,2025-04-24,10,145,Flooding / Waterlogging
FLR-00112,AST-0069,2024-09-07,9,129,Track Maintenance / PSR
FLR-00113,AST-0071,2024-12-04,5,137,Track Maintenance / PSR
FLR-00114,AST-0071,2026-08-10,7,141,Signal Failure
FLR-00115,AST-0072,2024-01-07,4,121,Flooding / Waterlogging
FLR-00116,AST-0072,2024-06-28,6,110,Track Congestion
FLR-00117,AST-0074,2025-03-02,7,124,Track Congestion
FLR-00118,AST-0074,2024-06-19,2,166,Crew Availability
FLR-00119,AST-0074,2026-08-17,1,141,Late Incoming Rake
FLR-00120,AST-0075,2025-11-21,4,130,Track Maintenance / PSR
FLR-00121,AST-0075,2026-07-03,4,93,Station Congestion
FLR-00122,AST-0076,2024-11-13,7,188,Late Incoming Rake
FLR-00123,AST-0076,2026-01-03,4,83,Technical Inspection
FLR-00124,AST-0077,2026-08-06,5,173,Flooding / Waterlogging
FLR-00125,AST-0079,2025-08-30,6,108,Flooding / Waterlogging
FLR-00126,AST-0079,2025-10-27,7,158,Track Congestion
FLR-00127,AST-0080,2025-02-13,7,123,Flooding / Waterlogging
FLR-00128,AST-0080,2023-12-24,9,165,Track Maintenance / PSR
FLR-00129,AST-0080,2025-09-08,7,115,Track Maintenance / PSR
FLR-00130,AST-0081,2024-04-15,8,163,Track Maintenance / PSR
FLR-00131,AST-0081,2024-11-05,4,146,Track Congestion
FLR-00132,AST-0081,2026-05-13,6,165,Level Crossing Delay
FLR-00133,AST-0082,2026-04-20,4,150,Track Maintenance / PSR
FLR-00134,AST-0082,2024-09-23,7,119,Station Congestion
FLR-00135,AST-0083,2024-03-22,7,142,Station Congestion
FLR-00136,AST-0083,2026-05-27,6,126,Track Maintenance / PSR
FLR-00137,AST-0083,2025-10-31,6,124,Late Incoming Rake
FLR-00138,AST-0086,2026-07-11,8,158,Flooding / Waterlogging
FLR-00139,AST-0087,2023-10-01,10,101,Flooding / Waterlogging
FLR-00140,AST-0087,2025-02-24,7,128,Track Maintenance / PSR
FLR-00141,AST-0087,2025-01-10,9,115,Station Congestion
FLR-00142,AST-0087,2024-02-29,9,164,Track Maintenance / PSR
FLR-00143,AST-0087,2024-01-02,5,173,Track Maintenance / PSR
FLR-00144,AST-0088,2026-04-02,4,102,Passenger Emergency
FLR-00145,AST-0089,2025-07-30,4,136,Track Congestion
FLR-00146,AST-0090,2024-01-01,5,162,Flooding / Waterlogging
FLR-00147,AST-0090,2025-08-03,7,151,Track Congestion
FLR-00148,AST-0091,2025-07-05,5,109,Flooding / Waterlogging
FLR-00149,AST-0091,2024-05-16,5,121,Track Congestion
FLR-00150,AST-0091,2023-11-17,4,132,Flooding / Waterlogging
FLR-00151,AST-0091,2026-04-15,9,149,Signal Failure
FLR-00152,AST-0092,2024-06-04,8,119,Unscheduled Halt
FLR-00153,AST-0092,2025-04-23,6,178,Late Incoming Rake
FLR-00154,AST-0092,2024-11-25,6,153,Station Congestion
FLR-00155,AST-0092,2026-08-27,7,151,Flooding / Waterlogging
FLR-00156,AST-0092,2026-07-26,3,165,Fog / Low Visibility
FLR-00157,AST-0092,2025-01-05,10,143,Late Incoming Rake
FLR-00158,AST-0092,2024-09-04,7,93,Passenger Emergency
FLR-00159,AST-0095,2024-11-01,9,136,Track Congestion
FLR-00160,AST-0096,2026-08-13,6,98,Track Congestion
FLR-00161,AST-0097,2026-01-29,6,113,Late Incoming Rake
FLR-00162,AST-0097,2025-09-05,5,136,Flooding / Waterlogging
FLR-00163,AST-0099,2026-01-03,5,129,Track Maintenance / PSR
FLR-00164,AST-0104,2026-08-17,4,137,Track Maintenance / PSR
FLR-00165,AST-0104,2024-07-19,4,86,Signal Failure
FLR-00166,AST-0104,2025-04-25,5,146,Track Congestion
FLR-00167,AST-0105,2023-09-11,5,193,Track Maintenance / PSR
FLR-00168,AST-0105,2026-01-12,6,188,Track Congestion
FLR-00169,AST-0107,2025-11-09,8,108,Late Incoming Rake
FLR-00170,AST-0107,2024-04-28,6,111,Flooding / Waterlogging
FLR-00171,AST-0107,2026-08-22,6,116,Track Congestion
FLR-00172,AST-0108,2025-05-09,8,107,Loco / Engine Failure
FLR-00173,AST-0108,2026-03-25,5,139,Late Incoming Rake
FLR-00174,AST-0111,2025-10-18,8,151,Freight Priority
FLR-00175,AST-0111,2023-10-22,10,182,Flooding / Waterlogging
FLR-00176,AST-0111,2025-05-14,7,143,Late Incoming Rake
FLR-00177,AST-0112,2025-10-04,5,76,Track Maintenance / PSR
FLR-00178,AST-0113,2024-11-12,6,170,Station Congestion
FLR-00179,AST-0114,2025-05-28,6,171,Track Maintenance / PSR
FLR-00180,AST-0114,2026-08-02,7,184,Track Maintenance / PSR
FLR-00181,AST-0114,2023-09-04,9,103,Crew Availability
FLR-00182,AST-0114,2026-04-19,5,145,Track Maintenance / PSR
FLR-00183,AST-0115,2026-03-05,5,142,Station Congestion
FLR-00184,AST-0115,2025-04-13,6,171,Late Incoming Rake
FLR-00185,AST-0116,2026-08-10,4,112,Track Congestion
FLR-00186,AST-0116,2024-11-29,5,153,Flooding / Waterlogging
FLR-00187,AST-0119,2025-09-12,5,125,Flooding / Waterlogging
FLR-00188,AST-0121,2026-06-22,5,124,Signal Failure
FLR-00189,AST-0122,2025-03-12,6,173,Flooding / Waterlogging
FLR-00190,AST-0122,2024-01-18,6,148,Flooding / Waterlogging
FLR-00191,AST-0122,2024-11-07,8,136,Track Congestion
FLR-00192,AST-0123,2023-12-10,7,163,Station Congestion
FLR-00193,AST-0123,2024-08-07,10,124,Track Congestion
FLR-00194,AST-0123,2024-04-17,8,142,Track Maintenance / PSR
FLR-00195,AST-0123,2026-04-07,8,180,Flooding / Waterlogging
FLR-00196,AST-0124,2024-05-14,10,121,Flooding / Waterlogging
FLR-00197,AST-0125,2026-01-30,4,159,Late Incoming Rake
FLR-00198,AST-0127,2024-07-27,6,122,Freight Priority
