taskId,assetId,assetType,department,corridorId,defectSeverity,assetCriticality,historicalFailures,overdueDays,trainTraffic,safetyRisk,expectedDegradation,assetAgeYears,priorityScore,failureRisk,riskLevel,recommendedDeadline,status,estimatedDurationMinutes
MT-00001,AST-0176,OHE,Traction Distribution,COR-004,5.0,6,3,5,48,7.0,0.175,9.4,38,0.381,Low,2026-09-27,pending,120
MT-00002,AST-0197,Station Equipment,S&T,COR-009,4.5,4,1,16,26,3.3,0.219,9.2,39,0.387,Low,2026-10-12,pending,75
MT-00003,AST-0538,Track,Engineering,COR-010,3.4,7,0,6,20,4.7,0.041,2.3,38,0.376,Low,2026-10-12,pending,210
MT-00004,AST-0503,Signal,S&T,COR-008,5.9,9,0,1,69,6.6,0.365,8.2,54,0.541,Medium,2026-09-13,in_progress,240
MT-00005,AST-0580,Track,Engineering,COR-004,7.3,8,1,12,48,6.6,0.168,12.9,59,0.586,Medium,2026-09-17,completed,180
MT-00006,AST-0212,Track,Engineering,COR-008,6.1,8,1,1,69,4.5,0.336,6.8,54,0.542,Medium,2026-09-15,in_progress,135
MT-00007,AST-0616,Signal,S&T,COR-004,7.7,10,2,2,48,9.5,0.406,13.6,68,0.682,High,2026-09-06,completed,210
MT-00008,AST-0349,Signal,S&T,COR-003,7.8,9,3,6,32,6.6,0.514,37.5,63,0.634,Medium,2026-09-16,pending,90
MT-00009,AST-0186,Track,Engineering,COR-006,8.4,8,4,0,73,7.5,0.532,12.0,67,0.672,High,2026-09-06,pending,120
MT-00010,AST-0399,Signal,S&T,COR-002,4.0,9,1,1,26,4.7,0.164,12.3,38,0.377,Low,2026-10-10,pending,165
MT-00011,AST-0536,Signal,S&T,COR-002,4.0,9,0,0,26,6.7,0.027,2.5,36,0.36,Low,2026-10-16,overdue,60
MT-00012,AST-0585,OHE,Traction Distribution,COR-003,5.0,7,0,3,32,4.7,0.243,12.0,40,0.405,Low,2026-09-16,pending,120
MT-00013,AST-0346,Track,Engineering,COR-004,6.5,8,4,2,48,5.5,0.378,19.4,50,0.495,Low,2026-09-14,pending,180
MT-00014,AST-0367,Signal,S&T,COR-008,6.2,9,1,4,69,7.2,0.241,16.9,50,0.496,Low,2026-09-17,pending,180
MT-00015,AST-0555,Signal,S&T,COR-008,6.6,9,1,15,69,6.4,0.524,1.7,68,0.682,High,2026-09-11,overdue,135
MT-00016,AST-0731,Station Equipment,S&T,COR-004,8.2,4,2,4,48,4.7,0.57,15.2,57,0.568,Medium,2026-09-13,pending,90
