simId,corridorId,corridorTrafficLevel,blockStartHour,blockDurationHours,isPeakHour,affectedTrains,expectedDelayMinutes,criticalTrainsAffected,alternativeRoutesAvailable
SIM-0001,COR-009,26,21,3,0,0,0.0,0,1
SIM-0002,COR-005,100,2,1,0,2,7.1,0,0
SIM-0003,COR-004,48,11,7,0,8,38.6,1,0
SIM-0004,COR-005,100,0,3,0,6,25.0,1,2
SIM-0005,COR-001,45,19,2,1,3,12.0,1,0
SIM-0006,COR-003,32,15,2,0,3,10.3,0,3
SIM-0007,COR-002,26,5,1,0,2,5.4,0,3
SIM-0008,COR-010,20,13,4,0,2,12.7,0,2
SIM-0009,COR-005,100,12,6,0,14,72.0,2,2
SIM-0010,COR-006,73,11,3,0,4,11.3,1,1
SIM-0011,COR-005,100,11,3,0,7,39.5,1,3
SIM-0012,COR-009,26,21,5,0,2,5.8,0,0
SIM-0013,COR-008,69,16,3,0,5,28.4,1,1
SIM-0014,COR-007,45,8,6,1,7,33.4,2,2
SIM-0015,COR-004,48,17,3,1,4,33.6,1,3
SIM-0016,COR-004,48,3,4,0,6,32.9,1,0
SIM-0017,COR-010,20,6,7,0,4,17.9,1,3
SIM-0018,COR-010,20,2,6,0,3,13.0,0,1
SIM-0019,COR-003,32,19,5,1,3,27.0,1,3
SIM-0020,COR-004,48,0,3,0,3,7.5,0,1
SIM-0021,COR-004,48,19,7,1,8,42.7,2,2
SIM-0022,COR-008,69,18,4,1,9,62.7,3,0
SIM-0023,COR-010,20,20,3,0,2,9.1,0,0
SIM-0024,COR-009,26,16,5,0,2,5.2,0,2
SIM-0025,COR-009,26,10,3,0,3,13.4,0,2
SIM-0026,COR-004,48,17,7,1,11,61.9,3,1
SIM-0027,COR-004,48,21,2,0,2,17.8,0,2
SIM-0028,COR-009,26,19,1,1,1,6.7,0,3
SIM-0029,COR-004,48,17,4,1,4,15.3,1,1
SIM-0030,COR-003,32,16,7,0,4,21.7,1,2
SIM-0031,COR-009,26,14,1,0,0,2.1,0,0
SIM-0032,COR-005,100,19,6,1,16,78.3,5,2
SIM-0033,COR-001,45,9,1,1,1,4.4,0,3
