stationId,name,corridorId,latitude,longitude
ST-001,Station 1,COR-006,22.7046,81.4125
ST-002,Station 2,COR-004,23.6956,85.0424
ST-003,Station 3,COR-002,20.8947,83.129
ST-004,Station 4,COR-010,20.2992,79.0022
ST-005,Station 5,COR-008,23.757,85.5243
ST-006,Station 6,COR-007,21.2691,75.1716
ST-007,Station 7,COR-005,25.6981,72.8634
ST-008,Station 8,COR-009,23.3715,73.9408
ST-009,Station 9,COR-006,27.3268,84.0577
ST-010,Station 10,COR-005,26.0027,79.89
ST-011,Station 11,COR-005,22.1237,75.0803
ST-012,Station 12,COR-003,27.3226,80.5167
ST-013,Station 13,COR-001,27.0476,74.937
ST-014,Station 14,COR-006,22.8748,83.6411
ST-015,Station 15,COR-009,21.8833,79.6385
ST-016,Station 16,COR-001,25.825,78.5963
ST-017,Station 17,COR-009,20.3975,77.3242
ST-018,Station 18,COR-009,20.9991,82.5845
ST-019,Station 19,COR-003,19.0736,78.289
ST-020,Station 20,COR-007,26.8692,73.9024
ST-021,Station 21,COR-002,25.6485,74.3881
ST-022,Station 22,COR-008,26.0517,87.8904
ST-023,Station 23,COR-008,26.8073,87.0373
ST-024,Station 24,COR-004,23.5892,83.6953
ST-025,Station 25,COR-001,24.6874,76.7539
ST-026,Station 26,COR-010,20.398,88.0068
ST-027,Station 27,COR-005,20.1453,84.96
ST-028,Station 28,COR-009,25.684,83.9702
ST-029,Station 29,COR-007,23.711,79.6898
ST-030,Station 30,COR-008,24.6524,76.8559
ST-031,Station 31,COR-008,26.65,74.0423
ST-032,Station 32,COR-002,25.3472,86.9416
ST-033,Station 33,COR-004,24.5358,79.7924
ST-034,Station 34,COR-005,24.5921,75.7378
ST-035,Station 35,COR-005,22.0395,77.3953
ST-036,Station 36,COR-001,19.3082,81.7675
ST-037,Station 37,COR-006,23.3672,75.3284
ST-038,Station 38,COR-002,21.1458,86.2058
ST-039,Station 39,COR-008,23.0853,84.6363
ST-040,Station 40,COR-007,27.534,84.0114
ST-041,Station 41,COR-010,21.3394,79.4135
ST-042,Station 42,COR-008,19.583,82.5369
ST-043,Station 43,COR-004,21.8138,81.8456
ST-044,Station 44,COR-010,21.9359,82.8975
ST-045,Station 45,COR-005,25.6192,73.8511
