trainId,number,type,corridorId,departure,avgDelayMinutes
TRN-0001,14722,Passenger,COR-002,04:15,2.2
TRN-0002,14985,Express,COR-008,08:45,3.4
TRN-0003,12986,Freight,COR-001,21:15,5.9
TRN-0004,15951,Passenger,COR-001,07:45,4.9
TRN-0005,22567,Passenger,COR-010,05:15,5.9
TRN-0006,28567,Passenger,COR-008,19:15,1.1
TRN-0007,18798,Freight,COR-007,11:30,20.3
TRN-0008,22039,Express,COR-004,13:15,4.1
TRN-0009,27231,Express,COR-005,11:00,2.4
TRN-0010,23546,Freight,COR-004,14:00,6.1
TRN-0011,15247,Express,COR-005,06:45,6.9
TRN-0012,15623,Freight,COR-007,17:15,27.2
TRN-0013,22749,Passenger,COR-008,08:00,15.9
TRN-0014,15755,Passenger,COR-004,12:45,4.8
TRN-0015,14976,Freight,COR-009,04:45,23.7
TRN-0016,21837,Freight,COR-001,00:15,20.3
TRN-0017,22725,Express,COR-009,13:30,2.4
TRN-0018,15065,Passenger,COR-007,03:45,31.9
TRN-0019,10966,Freight,COR-006,21:00,4.2
TRN-0020,25361,Express,COR-004,23:15,7.7
TRN-0021,17833,Freight,COR-004,07:30,18.0
TRN-0022,22659,Passenger,COR-004,06:30,0.8
TRN-0023,13453,Express,COR-010,12:15,5.9
TRN-0024,16287,Freight,COR-001,04:00,8.7
TRN-0025,22118,Freight,COR-007,20:45,15.4
TRN-0026,12482,Express,COR-010,02:30,6.6
TRN-0027,16334,Freight,COR-006,10:45,0.8
TRN-0028,24377,Express,COR-007,04:15,27.1
TRN-0029,25429,Express,COR-006,19:30,6.8
TRN-0030,17058,Express,COR-006,03:15,9.0
TRN-0031,12291,Freight,COR-007,10:15,1.2
TRN-0032,10520,Express,COR-010,20:30,19.7
TRN-0033,21123,Express,COR-008,10:45,4.2
TRN-0034,23870,Freight,COR-009,04:45,3.2
TRN-0035,21872,Passenger,COR-006,03:30,16.4
TRN-0036,18103,Express,COR-008,14:00,1.4
TRN-0037,10442,Express,COR-009,02:30,9.1
TRN-0038,14523,Freight,COR-003,08:45,3.1
TRN-0039,10719,Passenger,COR-009,14:15,10.1
TRN-0040,19244,Freight,COR-007,09:30,12.4
TRN-0041,16164,Express,COR-005,19:15,4.1
TRN-0042,11419,Passenger,COR-008,16:00,18.8
TRN-0043,22180,Freight,COR-002,03:30,6.9
TRN-0044,17405,Express,COR-007,19:15,27.3
